あいじょう	愛情	爱情，爱慕
しんけい	神経	神经，感觉
しんごう	信号	信号，暗号
じんこう	人工	人造，人工
しんこう	信仰	信仰
しんごうき	信号機	信号机
しんしつ	寝室	寝室
しんせん	新鮮	新鲜
しんだん	診断	诊断
しんに	真に	真正地
しんゆう	親友	亲密朋友
しんよう	信用	信用，信任
しんり	心裡	心理
しんるい	親類	亲属，亲戚
すいそ	水素	氢
すいみん	睡眠	睡眠
すう	数	数，数量
すえ	末	末，最后
すがりつく		缠住，抱住不放
すき		间隙，闲暇
スキー		滑雪
ずく		单靠，专凭
すごす	過ごす	过（日子）
すでに		已经，业已
すなわち		即，也就是说
スピート		速度，速率
すまい	住まい	居住，住址
スマート		潇洒，漂亮
せい		原因，缘故
せい	生	生
せい	正	正
せいいっぱい	精いっぱい	尽全力
せいご	生後	出生以后
せいはんたい	正反対	完全相反，正好相反
せいぶん	成分	成分
せおう	背負う	担负，背
せそう	世相	世态，社会情况
せっけい	設計	设计，规划
せっけいか	設計家	设计者，设计家
せっする	接する	遇到，接近
せっちゃく	接着	粘着
せってん	接点	接触点
セットポイント		设定点
せつやく	節約	节约，节省　
せまる	迫る	逼迫
せんご	戦後	战后，第二次世界大战后
せんこう	専攻	专业，专攻
ぜんしょう	全焼	烧完，烧毁
ぜんしん	前進	前进，提高
ぜんぜん	全然	一点也（不），全然（不）
センター		中心，中央
ぜんたい	全体	全体，总体
センチメートル		厘米
ぜんたい	全体	前提，前提条件
ぜんりょく	全力	全力，全部力量
ぞい	沿い	沿着...顺着...
そういう		那样的
ぞうか	増加	增加
そうげん	草原	草原
そうご	相互	相互，双方
そうぞう	想像	想象
そうばい	層倍	倍
そくりょく	速力	速度，速率
そしき	組織	组织，机构
そそぐ	注ぐ	流入
そっくり		全部，完全
そっちょく	率直	坦率，直率
そっと		悄悄地，轻轻地，偷偷地
そとがわ	外側	外面，外侧
そなえる	備える	准备，防备，备置
そのうち		而且，又
そんちょう	尊重	尊重，重视
そんなに		那样的，那么
だいいち	第一	第一，首要的
たいおん	体温	体温
たいおんけい	体温計	体温计（表）
だいがくいん	大学院	研究生院
たいさく	対策	对策，相应措施
だいじ	大事	重要，保证
タイプライター		打字机
タイヤ		轮胎，外胎
たいら	平ら	平，平坦
たいようけい	太陽系	太阳系
たいりく	大陸	大陆
たえる	堪える	经得起，耐
だが		但是，可是
だく	抱く	抱，怀有
たくわえる	蓄える	储蓄，贮藏
たしょう	多少	多少，稍微
たすう	多数	多数，许多
ただちに	直ちに	当即，直接
たった		仅，只
だって		即使是，就连
たとえる	例える	比喻，比作
えたいがしれぬ		莫明其妙的，离奇的
エチケット		礼仪，礼节
エンジン		发动机，引擎　
えんそ	塩素	氯，氯气
えんそく	遠足	郊游，徒步旅行
おいこす	追い越す	超过，越过
おいつく	追い付く	追上，赶上
おいつめる	追い詰める	穷追，追到绝境
おうえん	応援	援助，支援
おうべい	欧米	欧美
おおいに	大いに	很，非常
おおきさ	大きさ	大小，尺寸
おおぐち	大口	巨额；大批
おおて	大手	做大宗生意的人，大户头
おおよそ		大约，大致
おき	沖	（离岸较远的）海面，洋面
おさない	幼い	幼小的，幼稚的
おさまる	收まる	复原；纳入，装进
おしゃべり		闲谈；爱说话（的人）
オストラリア		澳大利亚
おそわる	教わる	受教，跟...学习
おてんばむすめ	おてんば娘	顽皮的女孩子
おのおの		各自，各
おのずと		自然而然
おびえきる		极其害怕
おまえ		你
おもいきる	思い切る	断念，死心
たはた	田畑	田地
たまったものではない		受不了，忍耐不了
たまる		积存，积压
だんし	男子	男子，男孩子
だんてい	断定	断定，判断
たんとう	担当	担当，担任
たんに	単に	仅仅，只，单
ちえ	知恵	智慧，智力
ちからづよい	力強い	有信心，强有力的
ちぢむ	縮む	缩，缩小
ちほう	地方	地方，地区
ちゃわん	茶碗	碗，茶杯
ちゅうし	中止	中止，停止
ちゅうと	中途	中途，半路
ちょうさ	調査	调查
ちょうしょく	朝食	早饭
ちょうせつ	調節	调节，调整
ちょうなん	長男	长子
チョコレート		巧克力色，巧克力
つい		方才，刚刚
ついきゅう	追求	追究，追求
ついて		（用について的形式）关于...就...而言
つうか	通過	通过，经过
つうがく	通学	走读
つうきん	通勤	上、下班，通勤
つうしん	通信	通信，通讯联络
つうねん	通念	普通的想法，一般的看法
つかむ		抓，抓住
つぎつぎに		接连不断，一个接一个地
ひなた		向阳处
ひにく	皮肉	挖苦，讽刺
ひはん	批判	批评，批判
ひびがいる	ひびが入る	裂纹
びみょう	微妙	微妙
びょうにん	病人	病人，患者
ひょうめん	表面	表面
びん	瓶	瓶
ピンク		粉红色
ぶ	分	（温度等的）分
ふあんてい	不安定	不安定
ふうけい	風景	风景，情景
ふかまる	深まる	深起来，深化
ふきゅう	普及	普及
ふくめる	含める	包含，包括
ふくらむ	膨らむ	膨胀，鼓起
ふすま		隔扇，拉门
ふせぐ	防ぐ	防止，防守
フットボール		足球
ふと		猛然，忽然
ブラウンかん	ブラウン管	显像管
ぶらさげる	ぶら下げる	悬挂，提
プラスチック		塑料，塑胶
ぶり		相隔，状态，方式
プリント		印刷，打印
プリントきばん	プリント基板	印刷电路版
あいする	愛する	爱，喜爱
おもいこむ	思い込む	坚信，确信
おもおもしい	重々しい	认认真真的；严肃的，郑重的
おもわく	思惑	想法，意图；期望
おもわず	思わず	不由得，情不自禁地
おやゆび	親指	大拇指
おり	折	时候，时机
オリンピック		奥林匹克运动会
おんせん	温泉	温泉
かい	貝	贝，贝类
がい	害	害处，危害
かいが	絵画	绘画，画
がいじん	外人	外国人，局外人
かいせい	改正	改正，修改
かいせん	回線	电路，线路
かいぜん	改善	改善，改进
かいちゅうでんとう	懐中電灯	手电筒
かいてき（だ）	快適	舒适，舒服
かいよう	海洋	海洋
がいらいご	外来語	外来语
かおり	香り	香气，芬芳
かかえる	抱える	负担，承担，抱
かがやかしい	輝かしい	辉煌的，光辉的
かかわらず		不管...，虽然...但是
ようし	容姿	姿容，姿态
ようする	要する	需要
ようするに	要するに	总之
ようそ	要素	要素，因素
ようと	用途	用途，用处
ようぶん	養分	养分
ようべん	用便	解手，大小便
よくじつ	翌日	翌日，次日
よけい	余計	格外，更加，更多
よごす	汚す	弄脏
よそ		别处，远处，远方
よそく	予測	预测，预料
よびかけ	呼びかけ	号召，呼吁
よびかける	呼び掛ける	号召，呼吁，召唤
よほう	予報	预防，提防
よめ	嫁	儿媳，新娘
よゆう	余裕	有余地，剩余，充裕
より		更（加），进一步
よろこび	喜び	喜悦，高兴
らしい		象...样子，象...似的
らんぼう	乱暴	粗暴，蛮横
りくじょう	陸上	陆（地）上
りくじょうきゅぎ	陸上競技	田径比赛
リズム		节奏，韵律
りょうきん	料金	费用
りんかく	輪郭	轮廓，概略
れつ	列	队列，列队
れっしゃ	列車	列车
レベル		水平，水准
レポート		报告，报导
れんごう	連合	联合
レンズ		透镜，镜头
つきもの	付き物	附属品，附带的东西
つく	突く	支，冒，冲
つける	着ける	穿
つたわる	伝わる	传导，流传
ツツジ		杜鹃花
つとめる	努める	努力，尽力
つながる		连接，连络
つなぐ		连接，系
つね	常	常事，平常
つねづね	常々	常常，经常
つねに	常に	时常，经常
つぶ	粒	粒，颗粒
つぶす		毁坏，弄坏
つめる	詰める	填，装
つもる	積もる	堆积，积累
つゆ	梅雨	梅雨，梅雨天
つりあう	釣り合う	平衡，平均
ていこう	抵抗	抵抗，阻力
ていさいや	体裁屋	说奉承话的人
ていど	程度	程度，适度
てきする	適する	适宜，适合
デザイナー		设计家，设计师
でたらめ		荒唐，胡扯
てま	手間	时间，功夫
てまえ	手前	自己的面前，这边
てる	照る	照，晒
てんこう	天候	气候，天气
でんせん	電線	电线
でんとう	伝統	传统
でんぷん		淀粉
どうか		设法，请
どうかしている		不正常，怪
どうし		同伴，伙伴
どうしても		无论如何也，一定
とうぜん	当然	当然，理所当然
とうてい		无论如何也（不），...，怎么也（不）...
とうとい	尊い	贵重的，珍贵的，高贵的
とうめい	透明	透明
とうよう	東洋	东洋，东方
どうよう	同様	同样，一样
トカゲ		蜥蜴
とかす	溶かす	溶化，熔化
とがる		尖，紧张
とくちょう	特徴	特征，特点
とける	溶ける	溶化，溶解，熔化
とこや	床屋	理发店，理发师
とざん	登山	登山
としとる	年取る	上年纪，上岁数
とっさ		一瞬间，突然
とばす	飛ばす	使...飞，使...奔驰
とびだす	飛び出す	飞起来，跑出去，起飞
ともかく		故且不论，不管怎样
とらえる	捕える	抓住，捕获
とりあげる	取り上げる	提出，采纳
とりいれる	取り入れる	采用，吸收
とりだす	取り出す	取出，拿出，抽出
とりまく	取り卷く	围，包围，捧场
どろ	泥	泥
とんでもない		不合情理的，毫无道理的
とんと		一点也（不）
どんなに		如何，怎样
な	名	名，名称，姓名
ないか	内科	内科
なおす	治す	治疗
なお		还有，再者
ながす	流す	使...流，传播，冲洗
なげかける	投げかける	扔过去，提出
ならす	鳴らす	鸣，出声
なんじ	汝	你，你们
なんど	何度	屡次，几次
なんとも	何とも	什么...也
なんびゃく	何百	数百
にくい		难，难以
にじゅう	二重	双层
にちじょう	日常	日常
にわか		突然，马上
ぬける	抜ける	脱落，脱离
ネオンサイン		霓红灯，氖灯
ねっする	熱する	加热
ねらい		目标，目的
ねんきん	年金	每年支给的定额养老金
ねんだい	年代	年代，时代
のけもの	のけ物	被排挤在外的人
のこり	残り	剩余，残余
はきょく	破局	悲惨的结局
はさむ	挟む	夹，夹住
バスケットボール		篮球
はだ	肌	肤，皮肤
はたらき	働き	作用，效力
はち		蜂，蜜蜂
ばっこん	拔根	拔根
はつばい	発売	发售，出售
はてしない	果てしない	没有边，无止境
はねる	跳ねる	溅，飞溅
はば	幅	幅度，宽度
ババぬき		（新婚小家庭中）没有母亲同住
はブラシ	歯ブラシ	牙刷
はやおき	早起き	早起，早起的人
パリ		巴黎
はるか		远，遥远
バレーボール		排球
はんせい	反省	反省
はんめい	判明	弄清楚
はんろん	反論	反对意见
ひ	非	非...不...
ひがい	被害	被害，受害
ひき、ぴき、びき	匹	匹、头、只
ひじょう	非情	无情
ひづけ	日付	年月日，日期
ひつじ	羊	羊
ふれる	触れる	接触，涉及
ブロック		块砖，预制件
ふんいき	雰囲気	气氛
ぶんかい	分解	分解
ぶんせき	分析	分析，研究，化险
ぶんたん	分担	分担
ぶんぼうぐ	文房具	文具
ぶんぼうぐてん	文房具店	文具店
ぶんめい	分明	文明
へいきん	平均	平均，均衡
べいこく	米国	美国
べっこ	別個	另一个，个别
ヘルメット		头盔，防护帽
ぽい		表示某种倾向很突出
ほうこう	方向	方向
ほうしん	方針	方针
ほうそく	法則	规律，定律
ぼうたかとび	棒高飛び	撑杆跳高
ほうる		放弃，弃而不顾
ほうれんそう		菠菜
ほこうしゃ	歩行者	步行者，行人
ぼしゅう	募集	招募，招集
ほす	干す	晒，把（水）弄干
ほっかいどう	北海道	北海道
ほね	骨	骨，骨头
ほぼ		大约，大体上
ホルモン		荷尔蒙，激素
ぼんやり		模模糊糊，不清楚
ほんらい	本来	本来，原来
ま	真	真正
マイコン		微型计算机
まがりとおる	まがり通る	强行走过，肆行无阻
マージャン		麻将
ます		方格
まぢか	間近	临近，靠近
まちがい	間違い	错误，不准确
まどぐち	窓口	窗口
まねく	招く	招致，惹起
まれ		稀少，稀奇
まんいち	万一	万一，倘若
み	身	身（体），自身
みかた	見方	看法，见解
みさだめる	見定める	认准，断定
みじめ	惨め	悲惨，惨痛
みずから	自ら	自已，自身
みずたまり	水たまり	水坑
みつめる	見詰める	凝视，注视
みより	身寄り	亲人，亲属
みるにたえない	見るに堪えない	不堪入目
みわける	見分ける	区分，识别
む	無	无...，没有
むほご	無保護	无保护
むしあつい	蒸し暑い	闷热的
むしろ		宁可，莫如，与其...不如
むっと		（空气）闷得慌
むりをしない	無理をしない	不勉强
めあて	目当て	目标，目的
れんぞく	連続	连续，顺序
ろうじん	老人	老（年）人
わだい	話題	话题，谈话材料
わたくず	棉くず	棉屑
わたる		关系到，涉及到
アイデア		主意，想法，理想
あいぼう	相棒	伙伴，同伴
あいまい		含糊，不明白
あう	遭う	遭遇，碰上
あからがお	赤ら顔	发红的脸，红脸膛
あきらめる	諦める	断念，死心
アクシデント		事故，灾祸
あこがれる	憧れる	憧憬，向往
あさひ	朝日	旭日，《朝日新闻》
あしおと	足音	脚步声
あしくび	足首	踝，脚脖子
あしもと	足元	脚底，脚下，眼前
あそびほうける	遊びほうける	游玩入迷，游玩成性
あたし		我（女性）
あたりまえ	当たり前	应该，理所当然
あっ		啊，哎哟
アナウンサー		播音员
あびる	浴びる	遭受；淋，浴
あらた	新た	新，重新
あり		蚂蚁
アルバム		影集，照相簿
かぶせる		蒙上，盖上
かみそり		剃刀，刮脸刀
かみのけ	髪の毛	头发
かよう		这样，如此
から	殻	皮，外壳；空壳
かり	仮	临时；暂时
がる		觉得...，显得...
かわいがる		喜爱，疼爱
かわいらしい		可爱的，小巧玲珑的
かん	観	...观(点)；外观
かんがえ	考え	想法，主意
かんかく	感覚	感觉
かんこう	観光	观光，游览
かんじょう	感情	感情
かんじん	肝心	重要，首要
かんせい	完成	完成
かんそう	乾燥	干燥，枯燥
かんづめ	缶詰	罐头
かんとう	関東	(日本)关东地区
かんどう（する）	感動	感动
かんぱ	寒波	寒潮，寒流
かんばん	看板	招牌，广告牌
かんり	管理	管理
きいろ	黄色	黄色
きがかり	気掛かり	担心，挂念
きかん	機関	机关，组织
ききて	聞き手	听众
ききながす	聞き流す	置若罔闻，充耳不闻
きぎょう	企業	企业
きく	利く	好使，灵便
きく	效く	有效，起作用
きぐ	器具	器具，工具
ぎこちない		动作笨拙，不灵活
めい	名	（表示人数）...名，...人
めいじ	明治	明治（日本年号）
めくる		翻开，掀开
めぐる	巡る	旋转，循环，巡游
めざす	目指す	把...作为目标
めった(に)		(不)多...,(不)常...
もったいない		可惜的，浪费的
もどす	戻す	退回，归回
もともと	元々	本来，根本
ものがたり	物語	传说，故事
もろい		脆的，易坏的
もんく	文句	不满，牢骚
もんくをいわれる	文句を言われる	被说闲话，被提意见
もんぶしょう	文部省	文部省（日本政府的教育部）
やくす	訳す	翻译　
やくひん	薬品	药品
やくわり	役割	分配（的）任务，分派（的）职务
やってくる		来，到来
やぶる	破る	弄破，打破
ヤマブキ		棣棠
ゆいいつ	唯一	唯一
ゆうこう	有效	有效
ゆうびん	郵便	邮件，邮政
ゆうびんぶつ	郵便物	邮件
ゆえ	故	缘故，理由，情况
ゆずる	譲る	让给，礼让
ゆだんもすきもならない	油断もすきもならない	不可麻痹大意
きざむ	刻む	刻，铭刻；切碎
きし	岸	岸，滨
ぎし	技師	工程师，技师
きしゃ	記者	记者
きたい	期待	期待，期望
きっかけ		契机，捐赠
きまえよく	気前よく	大方地，慷慨地
ぎもん	疑問	疑问，疑惑
きゅう	旧	旧，陈旧
きゅうきゅう		一心一意，念念不忘
きゅうきょ		急忙，匆忙
きゅうじつ	休日	假日，休息日
ぎゅうにゅう	牛乳	牛奶
きゅうり		黄瓜
きゅうりょう	給料	工资，薪水
きょうい	脅威	威胁，胁迫
きょうじゅ	教授	教授；教学，讲授
きょうどう	共同	共同
きょうふ	恐怖	恐怖，恐惧
きょうよう	教養	教养，修养
きょだい	巨大	巨大
キロメートル		公里，千米
きんちょう	緊張	紧张
く	句	句，句子；短语；俳句
く	区	区，区域
くい	悔い	后悔，懊悔
くう	食う	吃；消费，消耗
くさり	鎖	锁链，链条
くさる	腐る	腐朽，腐败
くずす	崩す	使崩溃；拆毁
くちびる	唇	嘴唇
くにぐに	国々	各国，各地
くみたてる	組み立てる	组装，装配
クーラー		冷气机，空调机
クラブ		俱乐部
グラフ		图表，图解；画报
クリスマス		圣诞节
グループ		小组，集团；伙伴
くんれん	訓練	训练
けいえい	経営	经营，管理
けっか	結果	结果，结局
げっきゅう	月給	月薪，工资
けっちゃく	決着	解决，结束；着落
けん	権	权(力)，权限
げんご	言語	语言，言语
げんざい	現在	现在，目前
ケンタッキーしゅう	ケンタッキー州	(美国)肯塔基州
けんとう	検討	研讨，探讨
こ	小	小，微小
ご	碁	围棋
こいねがう		渴望，希求
こうおん	高温	高温
ごうかく	合格	合格，及格
ごうけい	合計	总计，合计
こうし	講師	讲师
かく	各	各...，每...
かく		搔，挠
かぐ		嗅，闻
がく	学	学校，学问
がく	額	数额，数量
かくだい	拡大	扩大，放大
かくち	各地	各地
かくど	角度	角度，观点
かくまう		隐匿，窝藏
がくもん	学問	学问，学识；学习
かげえ	影絵	影画；影子戏
かざん	火山	火山
かすがい		纽带；锔子
かすみ		靄，霞
かせぐ	稼ぐ	赚钱，挣钱
かたほう	片方	一方，两者中的一个
かたみち	片道	单程；单方面
かたむく	倾く	倾斜；倾向于
かたる	語る	谈，说
かつ		同时，而且
かっか		兴奋，某种活动非常激烈的样子
かつぐ	担ぐ	扛，挑
がっしゅく	合宿	集训，集体住宿
かっぱつ	活溌	活泼，活跃
がつん		猛然，坚决地；当啷，锵一声（硬物相撞时所发出的声音)
かてい	過程	过程
カード		卡片
